(80 / 47)*x^0 + (-76 / 1)*x^1 + (-91 / 1)*x^2  := (-0.856990855177487, 0.021826020012651784)
(-18 / 1)*x^0 + (40 / 77)*x^1 + (-44 / 5)*x^2 + (93 / 1)*x^3 + (6 / 41)*x^4 + (-70 / 1)*x^5 + (67 / 1)*x^6 + (-16 / 35)*x^7 + (10 / 1)*x^8 + (-20 / 1)*x^9 + (-67 / 1)*x^10  := []
(56 / 1)*x^0 + (67 / 76)*x^1 + (25 / 51)*x^2  := ((-0.8992105263157888+10.650418625458201j), (-0.8992105263157901-10.650418625458201j))
(-66 / 1)*x^0 + (-7 / 6)*x^1 + (-91 / 81)*x^2 + (34 / 87)*x^3 + (27 / 40)*x^4 + (44 / 47)*x^5 + (-58 / 1)*x^6 + (-41 / 12)*x^7 + (29 / 22)*x^8 + (-70 / 1)*x^9 + (9 / 2)*x^10  := []
(-73 / 39)*x^0 + (15 / 29)*x^1 + (57 / 14)*x^2 + (99 / 20)*x^3 + (94 / 1)*x^4 + (61 / 16)*x^5  := []
(-79 / 1)*x^0 + (-61 / 1)*x^1 + (33 / 41)*x^2 + (46 / 1)*x^3 + (-40 / 1)*x^4 + (-14 / 19)*x^5 + (5 / 3)*x^6 + (48 / 1)*x^7 + (98 / 1)*x^8 + (-94 / 1)*x^9 + (-85 / 1)*x^10 + (15 / 22)*x^11 + (58 / 5)*x^12 + (-56 / 29)*x^13 + (-82 / 1)*x^14 + (52 / 1)*x^15 + (-19 / 25)*x^16  := []
(-43 / 1)*x^0 + (43 / 1)*x^1 + (-60 / 1)*x^2 + (-55 / 1)*x^3 + (-39 / 1)*x^4 + (-32 / 1)*x^5 + (-10 / 1)*x^6 + (-63 / 1)*x^7 + (-26 / 1)*x^8 + (72 / 1)*x^9  := []
(-7 / 3)*x^0 + (50 / 87)*x^1 + (-32 / 1)*x^2 + (-1 / 12)*x^3 + (-24 / 13)*x^4 + (47 / 1)*x^5 + (-83 / 24)*x^6 + (-40 / 1)*x^7  := []
(6 / 79)*x^0 + (-2 / 1)*x^1 + (87 / 1)*x^2 + (-81 / 1)*x^3 + (69 / 1)*x^4 + (-98 / 39)*x^5 + (30 / 1)*x^6 + (-2 / 1)*x^7 + (-1 / 1)*x^8 + (23 / 19)*x^9 + (-37 / 10)*x^10 + (-33 / 1)*x^11 + (-42 / 89)*x^12 + (43 / 34)*x^13 + (17 / 23)*x^14 + (30 / 1)*x^15  := []
(-75 / 1)*x^0 + (63 / 1)*x^1 + (8 / 3)*x^2 + (17 / 10)*x^3 + (54 / 1)*x^4 + (-67 / 14)*x^5 + (3 / 17)*x^6 + (49 / 47)*x^7  := []
(67 / 1)*x^0 + (5 / 1)*x^1 + (-73 / 1)*x^2 + (66 / 1)*x^3 + (-51 / 1)*x^4 + (80 / 1)*x^5 + (-15 / 8)*x^6 + (9 / 1)*x^7 + (-42 / 1)*x^8 + (-29 / 50)*x^9  := []
(41 / 5)*x^0 + (-36 / 77)*x^1 + (-17 / 1)*x^2 + (28 / 13)*x^3 + (-26 / 89)*x^4 + (29 / 1)*x^5 + (77 / 1)*x^6 + (-11 / 40)*x^7 + (-30 / 1)*x^8 + (-13 / 68)*x^9  := []
(-26 / 47)*x^0 + (-11 / 1)*x^1  := -26 / 517
(-47 / 1)*x^0 + (25 / 28)*x^1 + (-50 / 1)*x^2 + (-80 / 1)*x^3 + (-67 / 13)*x^4 + (37 / 23)*x^5 + (-59 / 1)*x^6 + (-85 / 21)*x^7 + (27 / 1)*x^8 + (56 / 1)*x^9 + (71 / 26)*x^10 + (-84 / 1)*x^11  := []
(3 / 1)*x^0 + (92 / 1)*x^1 + (-8 / 11)*x^2 + (-95 / 1)*x^3 + (-53 / 1)*x^4 + (-65 / 29)*x^5 + (-8 / 7)*x^6 + (-41 / 42)*x^7  := []
(74 / 1)*x^0 + (38 / 63)*x^1 + (-51 / 1)*x^2 + (-21 / 1)*x^3 + (86 / 1)*x^4  := []
(77 / 1)*x^0 + (-11 / 1)*x^1 + (-27 / 38)*x^2 + (55 / 1)*x^3  := []
(-19 / 1)*x^0  := Degree of the polynomial == 0, thus no roots.
(66 / 1)*x^0 + (13 / 1)*x^1 + (-5 / 8)*x^2 + (-23 / 15)*x^3 + (-19 / 7)*x^4 + (25 / 24)*x^5 + (-95 / 1)*x^6 + (17 / 27)*x^7 + (68 / 1)*x^8 + (-7 / 25)*x^9  := []
(35 / 73)*x^0 + (-1 / 20)*x^1 + (-43 / 97)*x^2  := (-1.0979015036940214, 0.9851108060196027)
(-31 / 1)*x^0 + (-9 / 1)*x^1 + (43 / 1)*x^2 + (-22 / 1)*x^3 + (5 / 8)*x^4 + (45 / 37)*x^5 + (15 / 7)*x^6 + (-50 / 1)*x^7 + (-20 / 1)*x^8 + (70 / 1)*x^9 + (15 / 2)*x^10 + (99 / 1)*x^11 + (31 / 11)*x^12 + (29 / 41)*x^13 + (-81 / 1)*x^14 + (23 / 21)*x^15 + (4 / 1)*x^16 + (5 / 1)*x^17 + (-18 / 1)*x^18 + (93 / 64)*x^19  := []
(76 / 29)*x^0 + (32 / 23)*x^1 + (-32 / 43)*x^2 + (91 / 1)*x^3 + (11 / 1)*x^4 + (75 / 1)*x^5 + (-13 / 29)*x^6 + (23 / 35)*x^7 + (89 / 51)*x^8 + (63 / 1)*x^9 + (-61 / 100)*x^10 + (11 / 26)*x^11 + (-48 / 1)*x^12 + (34 / 1)*x^13 + (-19 / 97)*x^14 + (-31 / 64)*x^15 + (-9 / 46)*x^16 + (48 / 1)*x^17  := []
(57 / 20)*x^0 + (-55 / 3)*x^1 + (-84 / 1)*x^2  := (-0.3232233878642316, 0.10496941961026336)
(-49 / 57)*x^0 + (7 / 66)*x^1  := 154 / 19
(-60 / 1)*x^0 + (2 / 1)*x^1  := 30 / 1
(0 / 1)*x^0 + (-12 / 1)*x^1 + (-91 / 1)*x^2 + (77 / 1)*x^3 + (29 / 12)*x^4 + (47 / 1)*x^5 + (-22 / 49)*x^6 + (11 / 18)*x^7 + (25 / 89)*x^8 + (-71 / 2)*x^9 + (-1 / 1)*x^10  := []
(-41 / 85)*x^0 + (26 / 23)*x^1 + (5 / 1)*x^2 + (-47 / 11)*x^3 + (39 / 1)*x^4 + (-93 / 1)*x^5 + (-41 / 38)*x^6 + (-8 / 1)*x^7 + (62 / 1)*x^8 + (-25 / 18)*x^9 + (55 / 1)*x^10 + (7 / 16)*x^11 + (-20 / 1)*x^12 + (-52 / 1)*x^13 + (8 / 5)*x^14 + (-58 / 1)*x^15 + (-28 / 19)*x^16 + (15 / 76)*x^17  := []
(27 / 1)*x^0 + (92 / 1)*x^1 + (7 / 6)*x^2 + (67 / 1)*x^3 + (27 / 61)*x^4 + (-64 / 95)*x^5 + (58 / 25)*x^6 + (9 / 100)*x^7 + (19 / 1)*x^8 + (8 / 27)*x^9 + (44 / 1)*x^10 + (87 / 1)*x^11 + (-1 / 11)*x^12 + (23 / 63)*x^13 + (-32 / 1)*x^14 + (-36 / 1)*x^15 + (-85 / 31)*x^16 + (-25 / 36)*x^17 + (-68 / 67)*x^18  := []
(27 / 68)*x^0 + (76 / 1)*x^1 + (-76 / 27)*x^2 + (58 / 1)*x^3 + (18 / 1)*x^4 + (-81 / 91)*x^5 + (-39 / 1)*x^6 + (-53 / 29)*x^7 + (-28 / 33)*x^8 + (67 / 1)*x^9 + (-25 / 67)*x^10 + (26 / 41)*x^11 + (6 / 5)*x^12 + (-32 / 1)*x^13 + (97 / 54)*x^14 + (-21 / 1)*x^15 + (61 / 10)*x^16  := []
(-56 / 13)*x^0 + (-36 / 1)*x^1 + (53 / 28)*x^2 + (-58 / 1)*x^3 + (8 / 11)*x^4 + (-18 / 25)*x^5 + (-2 / 23)*x^6  := []
(40 / 1)*x^0 + (-75 / 1)*x^1 + (92 / 1)*x^2 + (-67 / 1)*x^3 + (76 / 1)*x^4 + (54 / 1)*x^5 + (-23 / 1)*x^6 + (-48 / 1)*x^7 + (10 / 1)*x^8 + (-5 / 1)*x^9 + (13 / 1)*x^10 + (-69 / 1)*x^11 + (24 / 1)*x^12 + (26 / 1)*x^13  := []
(-50 / 1)*x^0 + (-53 / 73)*x^1 + (-98 / 97)*x^2 + (13 / 34)*x^3 + (94 / 27)*x^4 + (-9 / 1)*x^5  := []
(6 / 1)*x^0 + (45 / 62)*x^1 + (-94 / 1)*x^2 + (-46 / 1)*x^3 + (-3 / 14)*x^4 + (7 / 43)*x^5  := []
(-41 / 75)*x^0 + (-77 / 13)*x^1 + (-26 / 21)*x^2 + (-97 / 1)*x^3 + (75 / 79)*x^4 + (-16 / 47)*x^5 + (-56 / 1)*x^6 + (76 / 1)*x^7 + (63 / 1)*x^8 + (-15 / 1)*x^9 + (-75 / 1)*x^10 + (80 / 1)*x^11 + (-29 / 1)*x^12 + (11 / 49)*x^13 + (-93 / 4)*x^14 + (69 / 1)*x^15  := []
(3 / 1)*x^0 + (-12 / 23)*x^1 + (9 / 8)*x^2 + (94 / 1)*x^3 + (54 / 1)*x^4 + (-2 / 1)*x^5 + (-93 / 1)*x^6  := []
(-46 / 29)*x^0 + (-83 / 1)*x^1 + (-32 / 1)*x^2 + (68 / 29)*x^3 + (5 / 16)*x^4 + (73 / 1)*x^5 + (-98 / 1)*x^6 + (-89 / 43)*x^7 + (-73 / 44)*x^8 + (43 / 13)*x^9  := []
(-89 / 1)*x^0 + (-19 / 1)*x^1  := -89 / 19
(7 / 10)*x^0 + (28 / 19)*x^1 + (-10 / 1)*x^2 + (45 / 1)*x^3 + (-23 / 51)*x^4 + (-25 / 42)*x^5 + (76 / 29)*x^6 + (-2 / 29)*x^7 + (-7 / 1)*x^8 + (30 / 1)*x^9 + (-10 / 9)*x^10 + (3 / 1)*x^11 + (59 / 1)*x^12 + (-87 / 1)*x^13 + (83 / 1)*x^14 + (-51 / 100)*x^15  := []
(30 / 1)*x^0 + (11 / 4)*x^1 + (50 / 1)*x^2  := ((-0.02749999999999995+0.7741083580481483j), (-0.02750000000000005-0.7741083580481483j))
(11 / 27)*x^0 + (28 / 1)*x^1 + (-19 / 83)*x^2 + (61 / 53)*x^3 + (-39 / 100)*x^4 + (-43 / 28)*x^5 + (1 / 26)*x^6 + (1 / 1)*x^7 + (11 / 1)*x^8 + (-86 / 1)*x^9 + (-89 / 1)*x^10 + (-10 / 27)*x^11 + (-25 / 1)*x^12  := []
(-97 / 1)*x^0 + (-67 / 99)*x^1 + (41 / 19)*x^2 + (43 / 1)*x^3 + (-36 / 1)*x^4 + (98 / 1)*x^5 + (-88 / 1)*x^6 + (-16 / 1)*x^7 + (-7 / 23)*x^8  := []
(64 / 1)*x^0 + (-55 / 13)*x^1 + (71 / 1)*x^2 + (-89 / 1)*x^3 + (-96 / 1)*x^4 + (24 / 19)*x^5  := []
(69 / 1)*x^0 + (33 / 1)*x^1 + (4 / 1)*x^2 + (-41 / 1)*x^3 + (-19 / 1)*x^4 + (-80 / 1)*x^5 + (82 / 1)*x^6 + (-44 / 1)*x^7  := []
(17 / 1)*x^0 + (-15 / 1)*x^1 + (53 / 1)*x^2 + (56 / 1)*x^3 + (46 / 1)*x^4 + (-67 / 1)*x^5 + (97 / 1)*x^6 + (84 / 1)*x^7  := []
(18 / 1)*x^0  := Degree of the polynomial == 0, thus no roots.
(-1 / 1)*x^0 + (24 / 23)*x^1 + (-6 / 19)*x^2 + (53 / 1)*x^3 + (-56 / 1)*x^4 + (77 / 1)*x^5 + (-9 / 5)*x^6 + (20 / 1)*x^7 + (-12 / 1)*x^8 + (-75 / 56)*x^9 + (2 / 5)*x^10 + (41 / 1)*x^11 + (99 / 1)*x^12 + (-81 / 1)*x^13 + (-1 / 1)*x^14 + (-32 / 1)*x^15 + (24 / 43)*x^16  := []
(-100 / 1)*x^0 + (87 / 1)*x^1 + (0 / 1)*x^2 + (60 / 1)*x^3 + (-49 / 1)*x^4 + (-53 / 1)*x^5 + (66 / 1)*x^6 + (91 / 1)*x^7 + (-1 / 1)*x^8 + (20 / 1)*x^9  := []
(-71 / 1)*x^0 + (60 / 1)*x^1 + (-73 / 1)*x^2 + (36 / 1)*x^3 + (-35 / 1)*x^4 + (96 / 1)*x^5 + (91 / 1)*x^6 + (63 / 1)*x^7 + (-9 / 1)*x^8 + (62 / 1)*x^9 + (-85 / 1)*x^10 + (5 / 1)*x^11 + (-92 / 1)*x^12 + (-57 / 1)*x^13 + (-22 / 1)*x^14 + (25 / 1)*x^15 + (-66 / 1)*x^16  := []
(-5 / 49)*x^0 + (86 / 1)*x^1 + (38 / 1)*x^2 + (-5 / 13)*x^3 + (21 / 10)*x^4 + (71 / 55)*x^5 + (23 / 5)*x^6 + (69 / 1)*x^7 + (96 / 29)*x^8 + (-1 / 4)*x^9 + (31 / 40)*x^10 + (99 / 1)*x^11  := []
(-75 / 1)*x^0 + (-68 / 1)*x^1  := -75 / 68
(11 / 8)*x^0 + (-44 / 3)*x^1 + (-77 / 87)*x^2 + (-84 / 1)*x^3 + (78 / 1)*x^4 + (-9 / 1)*x^5 + (7 / 33)*x^6 + (5 / 1)*x^7 + (-61 / 1)*x^8 + (-70 / 1)*x^9 + (-29 / 9)*x^10 + (-76 / 1)*x^11 + (-40 / 1)*x^12 + (-66 / 1)*x^13 + (-9 / 4)*x^14 + (-16 / 1)*x^15 + (75 / 8)*x^16 + (36 / 1)*x^17  := []
(-78 / 1)*x^0 + (50 / 87)*x^1 + (73 / 1)*x^2 + (-13 / 61)*x^3 + (69 / 4)*x^4 + (33 / 91)*x^5 + (9 / 26)*x^6 + (84 / 1)*x^7 + (86 / 57)*x^8 + (47 / 34)*x^9 + (-32 / 1)*x^10 + (37 / 1)*x^11 + (73 / 16)*x^12  := []
(-4 / 3)*x^0  := Degree of the polynomial == 0, thus no roots.
(-15 / 1)*x^0 + (-8 / 1)*x^1 + (-6 / 1)*x^2 + (69 / 1)*x^3 + (95 / 1)*x^4 + (35 / 1)*x^5 + (49 / 1)*x^6  := []
(-17 / 12)*x^0 + (-51 / 83)*x^1 + (93 / 1)*x^2 + (-11 / 25)*x^3 + (-72 / 1)*x^4 + (-16 / 15)*x^5 + (1 / 6)*x^6 + (-3 / 91)*x^7 + (0 / 1)*x^8  := []
(-87 / 2)*x^0 + (12 / 1)*x^1 + (12 / 1)*x^2 + (85 / 1)*x^3 + (-3 / 7)*x^4 + (-80 / 1)*x^5 + (-17 / 1)*x^6 + (-26 / 1)*x^7 + (66 / 1)*x^8 + (-79 / 89)*x^9 + (61 / 1)*x^10 + (16 / 17)*x^11  := []
(76 / 1)*x^0 + (18 / 1)*x^1 + (-60 / 1)*x^2 + (16 / 3)*x^3 + (99 / 1)*x^4 + (-99 / 1)*x^5 + (9 / 11)*x^6 + (-9 / 11)*x^7 + (28 / 1)*x^8 + (54 / 1)*x^9 + (7 / 6)*x^10 + (82 / 25)*x^11 + (19 / 1)*x^12 + (47 / 77)*x^13 + (84 / 85)*x^14  := []
(66 / 1)*x^0 + (-67 / 1)*x^1 + (59 / 95)*x^2  := (106.88711838471728, 0.9942375474861003)
(-61 / 58)*x^0 + (-4 / 11)*x^1 + (-84 / 1)*x^2 + (-1 / 11)*x^3 + (49 / 1)*x^4 + (-47 / 2)*x^5 + (-4 / 1)*x^6 + (58 / 23)*x^7 + (100 / 1)*x^8 + (-28 / 1)*x^9 + (-38 / 1)*x^10 + (25 / 28)*x^11 + (-5 / 1)*x^12 + (35 / 47)*x^13 + (-98 / 1)*x^14 + (32 / 19)*x^15 + (-22 / 1)*x^16 + (38 / 39)*x^17  := []
(-54 / 61)*x^0 + (-72 / 41)*x^1 + (15 / 11)*x^2 + (39 / 1)*x^3 + (17 / 9)*x^4 + (86 / 1)*x^5 + (-66 / 1)*x^6 + (79 / 1)*x^7 + (-89 / 14)*x^8 + (53 / 68)*x^9 + (29 / 1)*x^10  := []
(-3 / 98)*x^0 + (100 / 1)*x^1 + (-39 / 43)*x^2 + (-48 / 1)*x^3 + (92 / 1)*x^4 + (90 / 19)*x^5 + (39 / 1)*x^6 + (79 / 1)*x^7 + (-37 / 1)*x^8 + (14 / 13)*x^9 + (-31 / 1)*x^10 + (-84 / 55)*x^11 + (-30 / 1)*x^12 + (6 / 1)*x^13 + (-49 / 79)*x^14 + (79 / 1)*x^15 + (-33 / 35)*x^16 + (98 / 57)*x^17  := []
(22 / 31)*x^0 + (-72 / 1)*x^1 + (32 / 1)*x^2 + (16 / 1)*x^3 + (1 / 28)*x^4 + (-8 / 25)*x^5 + (9 / 1)*x^6 + (8 / 27)*x^7 + (1 / 1)*x^8  := []
(-6 / 1)*x^0 + (5 / 92)*x^1 + (46 / 1)*x^2 + (-98 / 93)*x^3 + (25 / 79)*x^4 + (60 / 1)*x^5 + (82 / 1)*x^6 + (-8 / 43)*x^7 + (12 / 95)*x^8 + (-80 / 1)*x^9 + (8 / 1)*x^10  := []
(-88 / 1)*x^0 + (-37 / 1)*x^1 + (-71 / 1)*x^2 + (-95 / 1)*x^3 + (-82 / 1)*x^4 + (100 / 1)*x^5 + (-86 / 1)*x^6 + (72 / 1)*x^7 + (40 / 1)*x^8 + (-96 / 1)*x^9  := []
(-32 / 1)*x^0 + (34 / 1)*x^1 + (-8 / 1)*x^2 + (-18 / 1)*x^3  := []
(13 / 1)*x^0 + (100 / 1)*x^1 + (23 / 8)*x^2 + (-62 / 1)*x^3 + (-12 / 1)*x^4 + (4 / 1)*x^5 + (-19 / 48)*x^6 + (-2 / 3)*x^7 + (33 / 29)*x^8 + (-25 / 1)*x^9 + (79 / 85)*x^10 + (-90 / 79)*x^11 + (-47 / 56)*x^12 + (-8 / 29)*x^13 + (65 / 66)*x^14 + (29 / 44)*x^15 + (31 / 1)*x^16  := []
(20 / 1)*x^0 + (-87 / 1)*x^1 + (-77 / 1)*x^2 + (87 / 1)*x^3  := []
(-99 / 1)*x^0  := Degree of the polynomial == 0, thus no roots.
(-62 / 1)*x^0 + (-39 / 49)*x^1 + (-5 / 2)*x^2 + (49 / 23)*x^3 + (-86 / 55)*x^4 + (-1 / 27)*x^5 + (13 / 1)*x^6  := []
(21 / 1)*x^0 + (-17 / 66)*x^1 + (-28 / 1)*x^2  := (-0.8706371852302713, 0.8614380510311371)
(-14 / 1)*x^0 + (63 / 52)*x^1 + (17 / 49)*x^2 + (51 / 55)*x^3 + (52 / 1)*x^4 + (39 / 1)*x^5 + (7 / 9)*x^6 + (-44 / 1)*x^7 + (-64 / 1)*x^8 + (-11 / 24)*x^9 + (-76 / 1)*x^10 + (77 / 1)*x^11 + (-86 / 1)*x^12 + (32 / 1)*x^13  := []
(-14 / 1)*x^0 + (76 / 1)*x^1 + (-31 / 1)*x^2 + (-71 / 1)*x^3 + (-30 / 1)*x^4 + (71 / 1)*x^5 + (-79 / 1)*x^6 + (28 / 1)*x^7 + (-40 / 1)*x^8 + (-35 / 1)*x^9 + (-90 / 1)*x^10 + (-83 / 1)*x^11  := []
(-77 / 61)*x^0 + (33 / 25)*x^1 + (-92 / 1)*x^2 + (-9 / 1)*x^3 + (1 / 3)*x^4 + (88 / 1)*x^5 + (92 / 1)*x^6 + (-25 / 1)*x^7 + (-69 / 17)*x^8 + (-88 / 1)*x^9 + (-80 / 41)*x^10  := []
(59 / 1)*x^0 + (15 / 1)*x^1 + (-4 / 1)*x^2 + (-51 / 1)*x^3 + (42 / 1)*x^4 + (50 / 1)*x^5  := []
(-10 / 1)*x^0 + (65 / 1)*x^1 + (-34 / 1)*x^2 + (45 / 1)*x^3 + (-87 / 1)*x^4 + (-40 / 1)*x^5 + (-52 / 1)*x^6 + (-41 / 1)*x^7 + (-16 / 1)*x^8  := []
(-85 / 89)*x^0 + (-95 / 56)*x^1 + (37 / 98)*x^2 + (40 / 1)*x^3 + (60 / 1)*x^4 + (28 / 25)*x^5 + (7 / 15)*x^6 + (1 / 1)*x^7 + (-99 / 67)*x^8 + (26 / 1)*x^9 + (85 / 19)*x^10 + (63 / 1)*x^11 + (-32 / 29)*x^12 + (3 / 2)*x^13 + (-75 / 1)*x^14 + (-27 / 14)*x^15 + (95 / 27)*x^16 + (80 / 79)*x^17 + (84 / 1)*x^18  := []
(-9 / 13)*x^0 + (41 / 1)*x^1 + (47 / 89)*x^2 + (51 / 1)*x^3 + (-73 / 1)*x^4 + (82 / 81)*x^5 + (98 / 1)*x^6 + (-19 / 9)*x^7 + (32 / 9)*x^8 + (-47 / 16)*x^9 + (-11 / 45)*x^10 + (20 / 29)*x^11 + (-33 / 10)*x^12 + (-9 / 43)*x^13 + (-34 / 1)*x^14 + (-20 / 79)*x^15 + (18 / 1)*x^16 + (-2 / 7)*x^17 + (1 / 36)*x^18 + (-15 / 1)*x^19  := []
(-1 / 2)*x^0 + (-48 / 79)*x^1 + (-67 / 99)*x^2 + (65 / 1)*x^3 + (11 / 89)*x^4 + (8 / 17)*x^5 + (56 / 1)*x^6 + (-86 / 1)*x^7 + (-26 / 57)*x^8  := []
(-51 / 1)*x^0 + (34 / 3)*x^1 + (67 / 53)*x^2 + (-33 / 1)*x^3 + (-31 / 11)*x^4 + (-50 / 1)*x^5 + (1 / 1)*x^6 + (-30 / 1)*x^7 + (-89 / 1)*x^8 + (22 / 1)*x^9 + (74 / 1)*x^10  := []
(-27 / 1)*x^0  := Degree of the polynomial == 0, thus no roots.
(3 / 1)*x^0 + (25 / 1)*x^1 + (-11 / 1)*x^2 + (44 / 9)*x^3 + (41 / 76)*x^4 + (-44 / 17)*x^5 + (-10 / 1)*x^6 + (2 / 1)*x^7 + (-76 / 1)*x^8 + (14 / 1)*x^9 + (1 / 1)*x^10 + (-38 / 1)*x^11 + (-50 / 31)*x^12  := []
(23 / 1)*x^0  := Degree of the polynomial == 0, thus no roots.
(62 / 1)*x^0 + (-76 / 1)*x^1 + (76 / 1)*x^2 + (-79 / 1)*x^3 + (-18 / 1)*x^4 + (37 / 1)*x^5 + (-88 / 1)*x^6 + (-54 / 1)*x^7 + (46 / 1)*x^8 + (43 / 1)*x^9 + (-7 / 1)*x^10 + (-43 / 1)*x^11 + (66 / 1)*x^12 + (81 / 1)*x^13 + (-15 / 1)*x^14 + (5 / 1)*x^15 + (50 / 1)*x^16  := []
(-23 / 1)*x^0 + (-71 / 17)*x^1 + (67 / 50)*x^2 + (71 / 22)*x^3  := []
(24 / 5)*x^0 + (57 / 1)*x^1 + (96 / 1)*x^2 + (-8 / 3)*x^3  := []
(-5 / 1)*x^0 + (56 / 89)*x^1 + (1 / 12)*x^2 + (43 / 1)*x^3 + (-31 / 15)*x^4 + (-38 / 1)*x^5 + (63 / 32)*x^6 + (78 / 1)*x^7 + (58 / 1)*x^8 + (34 / 1)*x^9 + (-1 / 24)*x^10 + (-26 / 45)*x^11 + (68 / 1)*x^12 + (-2 / 1)*x^13 + (-1 / 1)*x^14 + (-72 / 1)*x^15  := []
(87 / 19)*x^0 + (-61 / 70)*x^1 + (-42 / 1)*x^2 + (8 / 87)*x^3 + (4 / 1)*x^4 + (-1 / 2)*x^5 + (6 / 1)*x^6 + (34 / 1)*x^7 + (-44 / 1)*x^8  := []
(-17 / 9)*x^0 + (0 / 1)*x^1 + (55 / 3)*x^2 + (-24 / 29)*x^3 + (23 / 1)*x^4 + (-5 / 84)*x^5 + (-3 / 4)*x^6 + (19 / 3)*x^7 + (23 / 1)*x^8 + (86 / 1)*x^9 + (22 / 67)*x^10 + (25 / 1)*x^11 + (-44 / 1)*x^12 + (-63 / 37)*x^13 + (-13 / 62)*x^14 + (6 / 7)*x^15 + (-77 / 64)*x^16  := []
(43 / 1)*x^0 + (-17 / 98)*x^1 + (-65 / 1)*x^2  := (-0.8146856214418343, 0.8120168616302172)
(33 / 28)*x^0 + (63 / 1)*x^1 + (-74 / 1)*x^2 + (34 / 21)*x^3  := []
(84 / 41)*x^0 + (-95 / 1)*x^1 + (63 / 1)*x^2 + (31 / 1)*x^3 + (-51 / 1)*x^4 + (67 / 47)*x^5  := []
(-100 / 49)*x^0 + (80 / 1)*x^1 + (-8 / 19)*x^2 + (100 / 1)*x^3 + (13 / 58)*x^4 + (-20 / 21)*x^5 + (-2 / 21)*x^6 + (63 / 1)*x^7 + (94 / 1)*x^8 + (-48 / 1)*x^9 + (-2 / 1)*x^10 + (-85 / 32)*x^11 + (7 / 65)*x^12 + (-77 / 93)*x^13 + (-23 / 12)*x^14 + (87 / 64)*x^15 + (19 / 67)*x^16 + (-40 / 1)*x^17  := []
(38 / 1)*x^0 + (75 / 1)*x^1 + (26 / 1)*x^2 + (-31 / 1)*x^3 + (-32 / 1)*x^4 + (20 / 1)*x^5 + (23 / 1)*x^6 + (81 / 1)*x^7 + (-71 / 1)*x^8 + (-61 / 1)*x^9 + (53 / 1)*x^10  := []
(-65 / 1)*x^0 + (-36 / 49)*x^1 + (28 / 1)*x^2 + (45 / 1)*x^3 + (39 / 1)*x^4 + (81 / 1)*x^5  := []
(43 / 74)*x^0 + (73 / 8)*x^1 + (-4 / 67)*x^2 + (30 / 37)*x^3 + (3 / 1)*x^4 + (31 / 34)*x^5 + (-25 / 1)*x^6 + (-43 / 1)*x^7 + (22 / 1)*x^8 + (-47 / 74)*x^9 + (99 / 1)*x^10 + (-46 / 1)*x^11 + (12 / 67)*x^12 + (59 / 1)*x^13 + (-81 / 1)*x^14  := []
(62 / 1)*x^0 + (17 / 15)*x^1 + (-8 / 11)*x^2 + (19 / 5)*x^3 + (49 / 1)*x^4  := []
(40 / 1)*x^0 + (32 / 25)*x^1 + (-48 / 1)*x^2 + (87 / 25)*x^3 + (-7 / 66)*x^4 + (-39 / 1)*x^5 + (-61 / 64)*x^6 + (96 / 1)*x^7 + (-24 / 73)*x^8 + (-31 / 1)*x^9 + (36 / 1)*x^10 + (68 / 1)*x^11  := []
(3 / 68)*x^0 + (-47 / 87)*x^1 + (-42 / 1)*x^2 + (-30 / 1)*x^3 + (-51 / 1)*x^4 + (0 / 1)*x^5 + (57 / 65)*x^6 + (-38 / 33)*x^7 + (28 / 1)*x^8 + (-67 / 1)*x^9 + (-41 / 1)*x^10 + (34 / 1)*x^11 + (-17 / 13)*x^12 + (52 / 31)*x^13  := []
(-8 / 1)*x^0 + (42 / 1)*x^1 + (-50 / 43)*x^2 + (43 / 1)*x^3 + (-49 / 10)*x^4 + (-23 / 22)*x^5 + (-48 / 1)*x^6 + (-32 / 31)*x^7 + (25 / 93)*x^8 + (-24 / 11)*x^9 + (5 / 59)*x^10 + (76 / 59)*x^11 + (-7 / 80)*x^12 + (-59 / 1)*x^13 + (-1 / 8)*x^14 + (85 / 1)*x^15 + (96 / 1)*x^16 + (-28 / 25)*x^17 + (56 / 1)*x^18  := []
(59 / 1)*x^0 + (37 / 30)*x^1 + (93 / 100)*x^2 + (43 / 39)*x^3 + (-29 / 81)*x^4 + (8 / 9)*x^5 + (78 / 1)*x^6  := []
(-66 / 1)*x^0 + (5 / 1)*x^1 + (42 / 1)*x^2 + (-3 / 1)*x^3 + (43 / 1)*x^4 + (6 / 17)*x^5 + (10 / 1)*x^6 + (-56 / 99)*x^7 + (-31 / 42)*x^8 + (-64 / 1)*x^9  := []
(-53 / 1)*x^0 + (-100 / 1)*x^1 + (46 / 1)*x^2 + (46 / 1)*x^3 + (42 / 1)*x^4 + (100 / 1)*x^5  := []
(39 / 1)*x^0 + (77 / 23)*x^1 + (-23 / 1)*x^2 + (76 / 1)*x^3 + (41 / 49)*x^4 + (7 / 9)*x^5 + (-26 / 31)*x^6 + (55 / 1)*x^7 + (7 / 8)*x^8 + (56 / 1)*x^9 + (68 / 67)*x^10 + (47 / 3)*x^11 + (12 / 31)*x^12 + (-16 / 5)*x^13 + (87 / 74)*x^14 + (-33 / 1)*x^15 + (68 / 1)*x^16 + (43 / 1)*x^17 + (54 / 25)*x^18 + (-23 / 93)*x^19  := []
